FY ,Quarter,Month(As on),MFI_Name,AUM_RsCr,TotalAssets_RsCr,OnBS_OS_MFL-RsCr,MFL_P_TA,QualifyingAssets_P,Wavg_CoB,Avg_OperatingCost_P,Max_Interest Rate_MFL,Min_Interest Rate_MFL,Wavg_InterestRate_MFL, AverageTicketSize ,Off-BS_MFL_Port_RsCr,BusinessCorrespondent,Securitised_Portfolio,Assigned_Portfolio,SPV_Portfolio_PTC_RsCr,NPA_Portfolio_RsCr,GrossNPA_P_OnBS MFL,NetNPA_P_OnBS MFL,DPD_G30Days_Lakhs,DPD_G30Days_P_OnBS MFL,DPD_G60Days_Lakhs,DPD_G60Days_P_OnBS MFL,DPD_G90Days_Lakhs,DPD_G90Days_P_OnBS MFL,DPD_G180Days_Lakhs,DPD_G180Days_P_OnBS MFL,TotalEquity_P_TA,Promoter_P_TA,FDI_P_TA,Others_P_TA,AIFIs_P_TA,Top5_Banks_P,OtherBanks_P,SFBs_P,Banks_P_TA,NBE_TA,ECB_P_TA,Others_P_TA,TermLoan_P_TA,Debentures_P_TA,SuborditedDebt_P_TA,CommercialPapers_P_TA,AnyOther_P_TA,Income_OnBS MFL_Port_P_TA,Income_OffBS MFL_Port_P_TA,I_NonCredit_FP_TA,I_NonCredit_NFProducts_TA,Share_Income_Activities_Direct Lending,OperatingProfit_RsCr,NetProfit_RsCr,ROA_P,ROE_P,L20P_LRs50000,L20P_GRs50000to1Lak,L20P_GRs1LaktoLRs1p5Lak,L20P_GRs1p5LaktoLRs2lak,L20P_GRs2laktoLRs2p5Lak,L20P_GRs2p5LaktoLRs3Lak,G20ptoL30p_LRs50000,G20ptoL30p_LRs50000toLRs1Lak ,G20ptoL30p_GRs1LaktoLRs1p5Lak,G20ptoL30p_GRs1p5LaktoLRs2Lak,G20ptoL30p_GRs2LaktoLR2p5Lak,G20ptoL30p_GRs2p5LaktoLRs3Lak,G30ptoL40p_LRs50000,G30ptoL40p_GRs50000toLRs1Lak ,G30ptoL40p_GRs1LaktoLRs1p5Lak,G30ptoL40p_GRs1p5LaktoLRs2Lak,G30ptoL40p_GRs2LaktoLRs2p5Lak,G30ptoL40p_GRs2p5LaktoLRs3Lak,G40ptoL50p_LR50000,G40ptoL50p_GRs50000toLRs1Lak ,G40ptoL50p_GRs1LaktoLRs1p5Lak,G40ptoL50p_GRs1p5LaktoLRs2Lak,G40ptoL50p_GRs2LaktoLRs2p5Lak,G40ptoL50p_GRs2p5LaktoLRs3Lak
FY 21-22,Q4 FY 21-22,Mar-22,Janakalyan financial services Pvt ltd,134.47,133.47,,,86.61%,12.85%,9.19%,,,24.49%,31435,,,,,,0.12,0.09%,,2073.26,15.42%,1964.13,14.61%,1834.77,13.64%,1642.09,12.21%,,,,,0.03,0.57,0.20,,,0.16,0.00,0.03,,,,,,,,,,20.58%,5.02,0.08,1.53%,4.82%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Light Microfinance Pvt Ltd,1064.33,935.03,,,89.94%,11.07%,10.54%,,,21.70%,57319,,,,,,50.96,1.99%,,4461.68,4.19%,3864.88,3.63%,2733.91,2.57%,1546.44,1.45%,,,,,0.12,0.24,0.38,,,0.26,0.00,0.00,,,,,,,,,,16.39%,1.77,1.25,0.70%,4.95%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,M Power Micro Finance Pvt Ltd,83.52,56.57,,,76.83%,9.30%,19.89%,,,21.70%,40450,,,,,,29.09,34.84%,,3212.68,38.47%,3065.00,36.70%,2924.91,35.02%,2501.05,29.95%,,,,,0.01,0.18,0.14,,,0.67,0.00,0.00,,,,,,,,,,44.92%,-5.31,-3.59,-6.90%,-37.87%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Madura Micro Finance Ltd,2867.63,2998.20,,,98.00%,9.84%,5.87%,,,19.80%,47063,,,,,,166.90,5.82%,,21444.61,7.48%,17034.99,5.94%,13908.15,4.85%,6586.32,2.30%,,,,,0.13,0.29,0.49,,,0.07,0.00,0.02,,,,,,,,,,5.81%,44.81,22.13,0.64%,3.85%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Magenta Finance Services Pvt Ltd,16.34,17.51,,,95.00%,12.15%,7.50%,,,21.70%,43100,,,,,,0.33,2.00%,,1.45,0.09%,2.99,0.18%,3.27,0.20%,60.73,3.72%,,,,,0.00,0.00,0.00,,,0.06,0.81,0.14,,,,,,,,,,4.28%,0.21,0.21,2.50%,5.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Midland Microfin Ltd,1137.41,1032.41,,,89.88%,12.08%,8.01%,,,21.69%,35194,,,,,,32.62,3.06%,,5392.48,4.74%,4573.79,4.02%,3289.41,2.89%,893.48,0.79%,,,,,0.19,0.23,0.28,,,0.09,0.05,0.15,,,,,,,,,,14.14%,11.78,11.56,1.67%,8.82%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Mitrata Inclusive Financial Services Pvt Ltd,241.08,154.29,,,90.05%,13.26%,8.20%,,,21.70%,37111,,,,,,7.21,2.99%,,875.79,3.63%,786.97,3.26%,720.80,2.99%,541.81,2.25%,,,,,0.12,0.22,0.29,,,0.36,0.00,0.00,,,,,,,,,,37.53%,1.49,-0.91,0.10%,0.50%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,MSM Microfinance Pvt Ltd,85.67,31.58,,,85.62%,16.75%,9.91%,,,21.70%,35661,,,,,,0.51,3.93%,,683.05,7.97%,615.05,7.18%,339.46,3.96%,179.07,2.09%,,,,,0.05,0.11,0.00,,,0.00,0.00,0.84,,,,,,,,,,34.68%,1.03,0.06,0.12%,0.32%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Muthoot Microfin Ltd,6567.08,5591.33,,,92.84%,10.41%,7.06%,,,20.27%,31214,,,,,,644.71,6.26%,,97894.03,14.91%,84084.20,12.80%,64471.27,9.82%,50945.60,7.76%,,,,,0.23,0.12,0.35,,,0.30,0.00,0.00,,,,,,,,,,32.88%,67.24,51.50,2.93%,12.48%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Namra Finance Ltd,1022.05,1009.12,,,90.45%,11.39%,10.55%,,,21.54%,35551,,,,,,34.30,3.68%,,8228.47,8.05%,5602.22,5.48%,3889.44,3.81%,1566.82,1.53%,,,,,0.11,0.10,0.25,,,0.49,0.05,0.00,,,,,,,,,,15.33%,22.45,12.25,4.86%,13.09%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,NEED Livelihood Microfinance Pvt Ltd,13.06,16.88,,,84.00%,14.95%,13.47%,,,21.75%,,,,,,,,,,527.29,40.36%,510.15,39.05%,490.89,37.57%,442.74,33.89%,,,,,0.00,0.00,0.00,,,0.77,0.23,0.00,,,,,,,,,,,-0.14,-0.14,-4.00%,-4.99%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Nightingale Finvest Pvt Ltd,61.72,84.11,,,94.28%,14.56%,6.75%,,,24.59%,17691,,,,,,0.44,0.71%,,330.52,5.36%,43.62,0.71%,34.73,0.56%,28.11,0.46%,,,,,0.01,0.08,0.33,,,0.59,0.00,0.00,,,,,,,,,,3.49%,1.58,1.58,1.99%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Saija Finance Pvt Ltd,113.39,119.44,,,88.91%,14.50%,6.21%,,,24.68%,49322,,,,,,11.80,10.41%,,1532.35,13.51%,1337.74,11.80%,1180.26,10.41%,346.09,3.05%,,,,,0.08,0.10,0.00,,,0.82,0.00,0.00,,,,,,,,,,34.52%,-8.60,-6.82,-6.39%,-42.79%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Samavesh Finserv Pvt Ltd,31.94,37.80,,,92.00%,15.00%,11.00%,,,22.00%,28758,,,,,,0.21,1.00%,,24.38,0.76%,23.13,0.72%,20.93,0.66%,15.36,0.48%,,,,,0.00,0.00,0.35,,,0.50,0.00,0.15,,,,,,,,,,11.90%,-0.05,-0.14,1.00%,2.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Sarwadi Finance Pvt Ltd,13.45,,,,,12.00%,,,,,24252,,,,,,,,,203.59,15.13%,159.61,11.86%,47.35,3.52%,36.91,2.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Satin Credit Care Network Ltd,6409.34,7375.41,,,85.69%,10.97%,7.25%,,,21.70%,40519,,,,,,690.12,8.01%,,75247.36,11.74%,72037.45,11.24%,69012.36,10.77%,57222.53,8.93%,,,,,0.10,0.09,0.36,,,0.26,0.06,0.13,,,,,,,,,,23.00%,77.05,84.14,3.27%,15.48%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Satya MicroCapital Ltd,2903.44,2891.76,,,87.03%,12.04%,7.76%,,,19.63%,45584,,,,,,79.53,3.31%,,17322.56,5.97%,14967.65,5.16%,7953.13,2.74%,1125.01,0.39%,,,,,0.02,0.12,0.36,,,0.44,0.00,0.05,,,,,,,,,,33.67%,32.73,23.34,1.37%,6.58%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Save Microfinance Pvt Ltd,512.99,569.38,,,94.72%,10.67%,8.86%,,,22.60%,34007,,,,,,7.43,1.33%,,819.32,1.60%,774.93,1.51%,742.53,1.45%,635.36,1.24%,,,,,0.00,0.27,0.13,,,0.45,0.00,0.15,,,,,,,,,,4.19%,3.85,3.85,0.84%,3.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Share Microfin Ltd,577.07,663.60,,,88.05%,,,,,21.70%,30497,,,,,,33.43,5.79%,,3448.29,5.98%,3397.35,5.89%,3343.49,5.79%,3104.95,5.38%,,,,,0.14,0.39,0.46,,,0.01,0.00,0.00,,,,,,,,,,,-0.66,-0.88,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Sindhuja Microcredit Pvt Ltd,433.82,468.76,,,88.79%,10.69%,8.35%,,,20.69%,38997,,,,,,5.64,1.46%,,917.67,2.12%,858.19,1.98%,810.97,1.87%,620.82,1.43%,,,,,0.00,0.06,0.42,,,0.52,0.00,0.00,,,,,,,,,,7.41%,4.74,2.88,1.01%,3.18%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Sonata Finance Pvt Ltd,1795.94,1720.93,,,99.90%,11.94%,5.82%,,,21.65%,37979,,,,,,105.35,5.95%,,15537.52,8.65%,12558.54,6.99%,10535.43,5.87%,5103.21,2.84%,,,,,0.11,0.04,0.29,,,0.42,0.12,0.02,,,,,,,,,,6.69%,5.23,8.06,0.86%,4.82%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,South India Finvest Pvt Ltd,40.33,35.67,,,86.00%,15.00%,7.00%,,,22.54%,29000,,,,,,0.72,5.89%,,384.62,9.54%,311.78,7.73%,237.55,5.89%,164.50,4.08%,,,,,0.00,0.00,0.66,,,0.34,0.00,0.00,,,,,,,,,,17.58%,0.02,0.02,1.00%,1.83%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Spandana Sphoorty Financial Ltd,6150.96,6799.82,,,,10.97%,,,,,49805,,,,,,1157.40,14.70%,,155959.16,25.36%,133540.78,21.71%,115738.79,18.82%,30714.77,4.99%,,,,,0.04,0.05,0.41,,,0.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Sv Creditline Pvt Ltd,692.30,596.40,,,85.85%,14.97%,9.06%,,,19.94%,23326,,,,,,15.23,2.20%,,6388.71,9.23%,2923.82,4.22%,1522.71,2.20%,686.75,0.99%,,,,,0.17,0.24,0.45,,,0.14,0.00,0.00,,,,,,,,,,72.32%,7.48,7.33,1.36%,6.65%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Svamaan Financial Services Pvt Ltd,260.94,301.11,,,94.00%,11.52%,12.64%,,,21.53%,39598,,,,,,1.46,0.56%,,244.28,0.94%,171.82,0.66%,146.76,0.56%,92.74,0.36%,,,,,0.00,0.22,0.38,,,0.40,0.00,0.00,,,,,,,,,,4.16%,0.83,0.06,0.68%,0.97%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Svasti Microfinance Pvt Ltd,618.73,663.90,,,88.00%,13.00%,8.84%,,,21.00%,33941,,,,,,12.14,2.00%,,2944.94,4.76%,1893.47,3.06%,1214.16,1.96%,782.44,1.26%,,,,,0.11,0.08,0.18,,,0.00,0.05,0.58,,,,,,,,,,8.85%,3.74,1.81,0.00%,1.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Svatantra Microfin Pvt Ltd,5446.67,5870.57,,,,10.74%,,,,,37133,,,,,,,,,29602.49,5.43%,24332.03,4.47%,20754.01,3.81%,13830.75,2.54%,,,,,0.07,0.28,0.43,,,0.18,0.03,0.00,,,,,,,,,,15.80%,60.37,60.37,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Unacco Finance Pvt Ltd,62.85,79.82,,,92.24%,12.25%,8.74%,,,21.70%,26732,,,,,,2.43,3.88%,,241.47,3.84%,224.25,3.57%,215.50,3.43%,211.24,3.36%,,,,,0.42,0.56,0.01,,,0.02,0.00,0.00,,,,,,,,,,2.38%,0.11,0.26,0.32%,1.06%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Unnati Microfin Pvt Ltd,100.86,,,,,,,,,,41801,,,,,,,1.85%,,188.70,1.87%,187.88,1.86%,186.75,1.85%,181.64,1.80%,,,,,0.00,0.00,0.13,,,0.87,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Vaya FinServ Pvt Ltd,1201.73,1527.53,,,93.45%,11.24%,6.48%,,,20.22%,22385,,,,,,36.65,3.05%,,5935.04,4.94%,4740.14,3.94%,3989.35,3.32%,2300.55,1.91%,,,,,0.05,0.22,0.26,,,0.40,0.00,0.07,,,,,,,,,,13.21%,18.61,7.13,0.40%,1.68%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Vector Finance Pvt Ltd,411.45,,,,,,,,,,37971,,,,,,,,,1050.00,2.55%,810.42,1.97%,607.28,1.48%,361.90,0.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Village Financial Services Ltd,805.97,892.50,,,92.93%,11.98%,7.60%,,,19.21%,34370,,,,,,32.82,4.55%,,12461.71,15.46%,8390.96,10.41%,3966.49,4.92%,836.49,1.04%,,,,,0.32,0.14,0.48,,,0.07,0.00,0.00,,,,,,,,,,7.88%,1.01,0.39,0.11%,0.60%,,,,,,,,,,,,,,,,,,,,,,,,
FY 21-22,Q4 FY 21-22,Mar-22,Vruksha Microfin Pvt Ltd,18.86,24.85,,,95.54%,9.00%,,,,21.69%,30000,,,,,,0.00,0.00%,,,,,,,,,,,,,,0.00,0.00,0.34,,,0.00,0.00,0.66,,,,,,,,,,0.00%,0.44,0.35,1.60%,3.10%,,,,,,,,,,,,,,,,,,,,,,,,
FY 22-23,Q1 FY 22-23,Jun-22,Adi Chitragupta Finance Limited,,209.18,197.76,94.54%,,9.01%,,24.50%,24.50%,24.50%,36916,0.00,0.00,0.00,0.00,0.00,,0.81%,0.00%,,0.84%,,0.83%,,0.81%,,0.69%,18.82%,16.78%,,2.04%,0.05,,,,0.42,0.07,0.00,0.00,53.67%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,153,275,129,305,841,2043,1,171,62,33,176,715,0,28,11,41,110,488,0,65,36,21,52,310
FY 22-23,Q1 FY 22-23,Jun-22,Agora Microfinance India Ltd,,29.38,22.20,75.57%,,14.35%,,25.00%,25.00%,25.00%,35061,3.83,3.83,0.00,0.00,0.00,,36.99%,38.43%,,66.37%,,63.71%,,60.95%,,43.94%,18.83%,,18.63%,0.20%,0.00,,,,0.00,0.00,0.76,0.00,0.16%,0.00%,75.52%,0.00%,0.00%,,,,,,,,,,0,694,720,0,0,0,0,97,124,0,0,0,0,72,78,0,0,0,0,114,166,0,0,0
FY 22-23,Q1 FY 22-23,Jun-22,Annapurna Finance Private Limited,,7089.11,5066.64,71.47%,,10.02%,,23.99%,23.55%,23.77%,44992,1282.18,1.03,0.00,0.00,1281.15,,8.47%,3.07%,,16.17%,,13.91%,,11.83%,,9.64%,11.84%,0.67%,10.41%,0.75%,0.05,,,,0.43,0.05,0.07,0.15,54.66%,15.01%,4.71%,0.00%,0.00%,,,,,,,,,,8,17,"1,312","8,806","20,795","28,344",0,405,"3,322","15,353","23,837","7,042",0,208,422,"1,987","6,170","8,950",0,25,419,"2,236","4,040","6,349"
FY 22-23,Q1 FY 22-23,Jun-22,Arohan Financial Services Limited,,5258.73,"4,084.12",77.66%,,10.45%,,25.00%,24.00%,24.47%,38057,81.90,0.00,0.00,81.90,0.00,,3.58%,0.91%,,15.55%,,8.62%,,3.94%,,2.50%,19.91%,6.83%,10.54%,2.54%,0.11,,,,0.51,0.14,0.02,0.00,41.51%,12.20%,1.91%,0.00%,22.74%,,,,,,,,,,2,135,"17,089","27,600","37,021","77,538",1,"2,275","13,930","8,390","14,333","27,455",0,912,"5,063","7,757","10,315","15,604",24,473,"4,741","6,401","7,407","8,991"
FY 22-23,Q1 FY 22-23,Jun-22,Arth Micro Finance Pvt Ltd,,151.61,92.00,60.68%,,,,24.80%,20.70%,22.75%,37470,241.66,241.66,0.00,0.00,0.00,,1.88%,0.00%,,2.54%,,2.18%,,1.88%,,1.61%,23.88%,13.48%,,10.40%,0.02,,,,0.59,0.12,0.00,0.00,68.18%,0.00%,4.62%,0.00%,0.00%,,,,,,,,,,0,0,0,0,0,0,"6,804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY 22-23,Q1 FY 22-23,Jun-22,ASA International India Microfinance Limited,,723.47,364.45,50.38%,,13.26%,,24.50%,21.65%,21.65%,26163,261.93,242.17,8.70,11.06,0.00,,2.36%,2.00%,,11.68%,,7.67%,,2.36%,,1.12%,14.57%,13.12%,0.00%,1.45%,0.03,,,,0.09,0.00,0.14,0.49,11.33%,32.42%,17.97%,0.00%,13.72%,,,,,,,,,,3,"2,856","1,129","2,818","4,126","3,341",2,"1,969","1,282",487,195,433,0,"5,179",188,92,56,24,0,993,127,106,17,23
FY 22-23,Q1 FY 22-23,Jun-22,Asirvad Microfinance Limited,,6465.95,"5,237.17",81.00%,,10.04%,,24.00%,20.35%,23.91%,42851,1162.15,0.00,0.00,1162.15,0.00,,8.34%,2.74%,,14.71%,,11.90%,,8.65%,,1.16%,16.43%,16.34%,,0.09%,0.13,,,,0.36,0.04,0.06,0.22,58.89%,17.38%,4.14%,0.00%,0.00%,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY 22-23,Q1 FY 22-23,Jun-22,Aviral Finance Pvt Ltd,,26.24,22.03,83.95%,,15.75%,,28.00%,28.00%,28.00%,32715,0.00,0.00,0.00,0.00,0.00,,15.36%,9.31%,,15.91%,,15.67%,,15.36%,,14.12%,50.05%,50.05%,,,0.00,,,,0.00,0.10,0.00,0.33,43.54%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,0,0,82,223,155,75,0,0,11,87,88,33,0,1,3,40,109,52,0,0,2,19,95,118
FY 22-23,Q1 FY 22-23,Jun-22,Belstar Investment and Finance Pvt Ltd,,4637.80,"3,485.60",75.16%,,8.85%,,24.00%,23.20%,23.60%,38312,860.69,0.00,860.69,0.00,0.00,,9.47%,3.88%,,11.94%,,10.98%,,9.75%,,5.72%,21.10%,2.75%,6.32%,12.02%,0.08,,,,0.59,0.09,0.00,0.00,64.85%,7.10%,3.55%,0.00%,0.00%,,,,,,,,,,"4,197","7,997","7,952","5,794","15,503","40,888","1,462","4,726","4,431","2,915","8,168","20,938","1,399","5,210","4,833","3,293","7,505","19,636",65,"1,624","2,916","2,305","7,456","20,932"
FY 22-23,Q1 FY 22-23,Jun-22,BWDA Financial Ltd,,143.34,113.18,78.96%,,8.68%,,24.00%,,23.00%,37466,129.23,129.23,0.00,0.00,0.00,,1.76%,0.66%,,8.07%,,5.71%,,2.74%,,1.76%,22.16%,22.16%,,,0.00,,,,0.67,0.02,0.00,0.00,69.37%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,0,0,22,10,978,49,0,2,262,153,0,0,0,9,0,0,0,0,0,964,0,0,0,0
FY 22-23,Q1 FY 22-23,Jun-22,Chaitanya India Fin Credit Pvt Ltd,,2829.30,"2,571.06",90.87%,,9.45%,,21.65%,19.65%,20.87%,41121,418.25,0.00,0.00,418.25,0.00,,0.86%,0.22%,,1.19%,,0.92%,,0.79%,,0.52%,18.49%,,,18.49%,0.08,,,,0.61,0.09,0.00,0.00,71.21%,4.49%,1.06%,1.22%,0.00%,,,,,,,,,,0,246,"3,808","11,771","21,555","31,611",2,436,"2,340","5,602","14,289","27,934",17,266,"1,758","5,683","14,168","29,395",40,211,"2,237","5,761","13,587","35,311"
FY 22-23,Q1 FY 22-23,Jun-22,Creditaccess Grameen Ltd,,14176.36,"11,875.25",83.77%,,9.00%,,21.50%,18.75%,20.30%,32441,856.51,0.00,0.00,856.51,0.00,,2.54%,0.77%,,2.59%,,2.23%,,1.93%,,1.09%,28.94%,21.36%,2.51%,5.07%,0.12,,,,0.44,0.02,0.03,0.08,60.32%,8.29%,0.00%,0.00%,0.00%,,,,,,,,,,2,23,432,"2,235","10,063","81,279",8,22,439,"2,197","9,548","1,00,584",13,33,432,"2,414","9,639","1,02,401",2,53,546,"2,247","8,072","74,319"
FY 22-23,Q1 FY 22-23,Jun-22,Fusion Microfinance Pvt Ltd,,,"6,630.96",,,,,22.65%,19.00%,21.92%,36365,599.48,0.00,0.00,599.48,0.00,,,,,4.30%,,3.65%,,3.10%,,1.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,72,25,16,61,88,317,0,12,8,30,75,188,0,9,26,40,53,162,243,"9,728","10,415","23,745","36,615","93,351"
FY 22-23,Q1 FY 22-23,Jun-22,Grameen Shakti,,52.25,,,,,,26.00%,21.86%,22.51%,32697,11.87,11.87,0.00,0.00,0.00,,2.14%,1.07%,,51.90%,,39.78%,,11.29%,,0.00%,26.67%,26.67%,,,0.01,,,,0.45,0.23,0.00,0.00,69.05%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,0,5,309,230,324,124,0,14,515,132,162,32,1,18,515,165,97,21,2,55,722,131,64,0
FY 22-23,Q1 FY 22-23,Jun-22,G U Financial Services Pvt Ltd,,34.14,26.61,77.95%,,14.43%,,26.00%,24.00%,24.00%,30912,88.65,88.65,0.00,0.00,0.00,,6.47%,1.20%,,17.21%,,11.12%,,6.47%,,4.27%,46.63%,46.63%,,,0.00,,,,0.26,0.09,0.00,0.08,28.38%,0.00%,14.64%,0.00%,0.00%,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0
FY 22-23,Q1 FY 22-23,Jun-22,Hindusthan Microfinance Pvt Ltd,,43.56,27.60,63.37%,,12.67%,,,,,34981,0.00,0.00,0.00,0.00,0.00,,0.94%,0.00%,,1.14%,,1.08%,,0.94%,,0.00%,29.31%,26.07%,0.80%,2.44%,0.00,,,,0.54,0.00,0.00,0.03,42.28%,0.00%,11.48%,0.00%,3.33%,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
FY 22-23,Q1 FY 22-23,Jun-22,Humana Financial Services Pvt Ltd,,63.10,47.41,75.13%,,14.66%,,26.00%,26.00%,26.00%,42441,81.94,81.94,0.00,0.00,0.00,,2.35%,0.00%,,2.70%,,2.55%,,2.35%,,1.71%,33.52%,22.09%,11.43%,,0.05,,,,0.03,0.52,0.00,0.00,58.92%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY 22-23,Q1 FY 22-23,Jun-22,IIFL Samasta Finance Ltd,,6220.87,"4,920.68",79.10%,,12.13%,,22.89%,22.18%,22.88%,36550,1096.18,348.11,0.00,748.06,0.00,,2.83%,1.22%,,12.25%,,9.53%,,3.22%,,1.77%,16.18%,12.10%,,4.09%,0.11,,,,0.58,0.11,0.00,0.00,69.87%,8.70%,1.61%,0.42%,0.00%,,,,,,,,,,"1,11,513",1,0,0,0,0,"50,990",0,0,0,0,0,"39,928",0,0,0,0,0,"64,977",0,0,0,0,0
FY 22-23,Q1 FY 22-23,Jun-22,Inditrade Microfinance Ltd,,306.25,216.43,70.67%,,11.05%,,26.00%,26.00%,26.00%,22746,38.61,37.59,0.00,1.02,0.00,,1.86%,0.15%,,4.59%,,3.24%,,2.02%,,1.68%,22.20%,20.01%,,2.20%,0.07,,,,0.51,0.18,0.00,0.00,68.29%,3.27%,3.27%,0.00%,1.29%,,,,,,,,,,13,817,"1,686",343,16,"2,702",8,309,687,124,2,755,1,247,537,56,0,273,62,902,"1,394",47,0,105
FY 22-23,Q1 FY 22-23,Jun-22,Jagaran Microfin Pvt Ltd,,351.49,273.34,77.77%,,13.08%,,25.25%,23.25%,25.10%,34936,0.00,0.00,0.00,0.00,0.00,,4.94%,0.49%,,7.64%,,6.13%,,4.94%,,4.89%,26.79%,24.67%,,2.12%,0.05,,,,0.51,0.05,0.00,0.12,59.54%,11.87%,1.42%,0.00%,0.00%,,,,,,,,,,0,1,124,"1,571","2,682",680,0,12,254,"1,459","2,754",288,0,14,68,233,243,759,0,28,229,42,26,102
FY 22-23,Q1 FY 22-23,Jun-22,Janakalyan financial services Pvt ltd,,125.59,94.41,75.17%,,11.18%,,25.00%,25.00%,25.00%,28585,34.37,33.78,0.59,0.00,0.00,,0.12%,0.03%,,0.21%,,0.15%,,0.11%,,0.04%,35.77%,10.98%,,24.79%,0.02,,,,0.45,0.14,0.00,0.00,59.08%,0.00%,2.39%,0.00%,0.00%,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,334"
FY 22-23,Q1 FY 22-23,Jun-22,Light Microfinance Pvt Ltd,,1019.20,878.48,86.19%,,11.61%,,26.00%,26.00%,26.00%,67625,240.34,7.59,33.81,198.93,0.00,,,,,4.88%,,4.26%,,3.75%,,1.75%,12.63%,3.55%,8.88%,0.20%,0.09,,,,0.50,0.22,0.00,0.00,64.34%,13.53%,3.21%,0.00%,0.00%,,,,,,,,,,44,158,"1,205","5,469","12,404","11,919",0,50,286,"1,099","2,459","2,061",1,49,204,798,"1,204",749,90,141,372,656,530,239
