FY ,Quarter,Month(As on),MFI_Name,AUM_RsCr,TotalAssets_RsCr,OnBS_OS_MFL-RsCr,MFL_P_TA,QualifyingAssets_P,Wavg_CoB,Avg_OperatingCost_P,Max_Interest Rate_MFL,Min_Interest Rate_MFL,Wavg_InterestRate_MFL, AverageTicketSize ,Off-BS_MFL_Port_RsCr,BusinessCorrespondent,Securitised_Portfolio,Assigned_Portfolio,SPV_Portfolio_PTC_RsCr,NPA_Portfolio_RsCr,GrossNPA_P_OnBS MFL,NetNPA_P_OnBS MFL,DPD_G30Days_Lakhs,DPD_G30Days_P_OnBS MFL,DPD_G60Days_Lakhs,DPD_G60Days_P_OnBS MFL,DPD_G90Days_Lakhs,DPD_G90Days_P_OnBS MFL,DPD_G180Days_Lakhs,DPD_G180Days_P_OnBS MFL,TotalEquity_P_TA,Promoter_P_TA,FDI_P_TA,Others_P_TA,AIFIs_P_TA,Top5_Banks_P,OtherBanks_P,SFBs_P,Banks_P_TA,NBE_TA,ECB_P_TA,Others_P_TA,TermLoan_P_TA,Debentures_P_TA,SuborditedDebt_P_TA,CommercialPapers_P_TA,AnyOther_P_TA,Income_OnBS MFL_Port_P_TA,Income_OffBS MFL_Port_P_TA,I_NonCredit_FP_TA,I_NonCredit_NFProducts_TA,Share_Income_Activities_Direct Lending,OperatingProfit_RsCr,NetProfit_RsCr,ROA_P,ROE_P,L20P_LRs50000,L20P_GRs50000to1Lak,L20P_GRs1LaktoLRs1p5Lak,L20P_GRs1p5LaktoLRs2lak,L20P_GRs2laktoLRs2p5Lak,L20P_GRs2p5LaktoLRs3Lak,G20ptoL30p_LRs50000,G20ptoL30p_LRs50000toLRs1Lak ,G20ptoL30p_GRs1LaktoLRs1p5Lak,G20ptoL30p_GRs1p5LaktoLRs2Lak,G20ptoL30p_GRs2LaktoLR2p5Lak,G20ptoL30p_GRs2p5LaktoLRs3Lak,G30ptoL40p_LRs50000,G30ptoL40p_GRs50000toLRs1Lak ,G30ptoL40p_GRs1LaktoLRs1p5Lak,G30ptoL40p_GRs1p5LaktoLRs2Lak,G30ptoL40p_GRs2LaktoLRs2p5Lak,G30ptoL40p_GRs2p5LaktoLRs3Lak,G40ptoL50p_LR50000,G40ptoL50p_GRs50000toLRs1Lak ,G40ptoL50p_GRs1LaktoLRs1p5Lak,G40ptoL50p_GRs1p5LaktoLRs2Lak,G40ptoL50p_GRs2LaktoLRs2p5Lak,G40ptoL50p_GRs2p5LaktoLRs3Lak
FY 18-19,Q1 FY 18-19,Jun-18,Shikhar Micrfinance Pvt Ltd,67.74,77.74,,,87.30%,14.76%,10.43%,,,24.63%,42814,,,,,,0.00,0.00%,,209.69,3.10%,117.76,1.74%,97.37,1.44%,66.67,0.98%,,,,,,,,94.39,0.00,0.00,0.00,5.61,,,,,,,,,,0%, 0.3 , 0.2 ,0.8%,4.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Sonata Finance Pvt Ltd,1320.28,1285.30,,,95.00%,13.10%,6.00%,,,22.28%,30618,,,,,,63.57,4.80%,,9033.21,6.84%,7416.50,5.62%,6357.40,4.82%,4289.81,3.25%,,,,,,,,0.95,32.37,22.60,0.00,44.09,,,,,,,,,,16%, 22.5 , 9.9 ,3.0%,21.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Svasti Microfinance Pvt Ltd,225.78,229.42,,,93.12%,14.50%,9.00%,,,24.45%,27076,,,,,,2.96,0.75%,,248.35,1.10%,212.82,0.94%,171.28,0.76%,83.02,0.37%,,,,,,,,2.31,1.11,79.66,3.43,13.49,,,,,,,,,,5%, 1.5 , 0.9 ,1.5%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Svatantra Microfin Pvt Ltd,652.28,688.15,,,92.44%,10.61%,8.58%,,,20.36%,27900,,,,,,20.50,3.14%,,2284.03,3.50%,2101.53,3.22%,2049.56,3.14%,1940.14,2.97%,,,,,,,,0.00,73.45,12.47,0.00,14.08,,,,,,,,,,4%, 9.7 , 5.2 ,3.2%,17.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,SVCL,762.03,628.40,,,89.41%,14.73%,7.20%,,,24.70%,28124,,,,,,32.00,7.37%,,6352.10,8.34%,5578.21,7.32%,5034.36,6.61%,4395.69,5.77%,,,,,,,,0.00,24.70,38.77,0.00,36.53,,,,,,,,,,5%, 4.4 , 1.0 ,0.2%,1.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Unacco Finance Pvt Ltd,75.70,92.78,,,86.00%,11.80%,1.59%,,,22.75%,22374,,,,,,0.00,0.23%,,9.62,0.13%,7.02,0.09%,5.91,0.08%,4.55,0.06%,,,,,,,,0.00,10.11,89.89,0.00,0.00,,,,,,,,,,1%, 1.1 , 0.7 ,1.2%,7.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Unnati Microfin Pvt Ltd,65.13,0.00,,,,0.00%,0.00%,,,0.00%,33636,,,,,,0.91,1.49%,,137.64,2.11%,121.51,1.87%,109.30,1.68%,84.33,1.29%,,,,,,,,0.00,13.55,0.00,0.00,86.45,,,,,,,,,,#DIV/0!, -  .0 , -  .0 ,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Varam Capital Pvt Ltd,60.58,71.31,,,,15.38%,12.41%,,,24.53%,21392,,,,,,6.99,8.89%,,712.19,11.76%,705.95,11.65%,699.36,11.54%,672.77,11.11%,,,,,,,,0.00,35.30,59.86,0.39,4.46,,,,,,,,,,7%, -0.9 , -0.9 ,-4.2%,-41.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Vaya FinServ Pvt Ltd,838.65,322.04,,,79.52%,12.14%,9.16%,,,23.75%,27642,,,,,,24.41,2.91%,,2647.71,3.16%,2515.66,3.00%,2441.12,2.91%,2255.33,2.69%,,,,,,,,0.00,35.48,29.40,0.00,35.12,,,,,,,,,,63%, 8.8 , 3.5 ,1.3%,5.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,VFS Capital Ltd,780.73,799.10,,,96.99%,13.33%,6.14%,,,22.58%,28566,,,,,,3.93,0.56%,,445.78,0.57%,414.87,0.53%,392.50,0.50%,276.93,0.35%,,,,,,,,4.45,38.61,56.95,0.00,0.00,,,,,,,,,,2%, 10.5 , 6.1 ,0.8%,7.2%,,,,,,,,,,,,,,,,,,,,,,,,
